No;Link Matkul;Name;Kode Matkul;Kategori Matkul
109;https://sikola.unhas.ac.id/courses/0112C21201/index.php;KEJANG DAN EPILEPSI;0112C21201;11703
110;https://sikola.unhas.ac.id/courses/0113C20201/index.php;PEDIATRIK & STRABISMUS;0113C20201;11701
111;https://sikola.unhas.ac.id/courses/0113C20601/index.php;KETERAMPILAN FISIK DIAGNOSTIK I;0113C20601;11705
112;https://sikola.unhas.ac.id/courses/0113C21201/index.php;NEURO INFEKSI;0113C21201;11703
113;https://sikola.unhas.ac.id/courses/0114C20203/index.php;BASIC READING;0114C20203;11701
114;https://sikola.unhas.ac.id/courses/0114C20601/index.php;JOURNAL READING I;0114C20601;11705
115;https://sikola.unhas.ac.id/courses/0114C21201/index.php;NEURO FARMAKOLOGI;0114C21201;11703
116;https://sikola.unhas.ac.id/courses/0115C20601/index.php;ETIKA PROFESI;0115C20601;11705
117;https://sikola.unhas.ac.id/courses/0115C21201/index.php;NEURO ENDOKRIN;0115C21201;11703
118;https://sikola.unhas.ac.id/courses/0116C20602/index.php;ALERGI IMUNOLOGI I;0116C20602;11705
119;https://sikola.unhas.ac.id/courses/0116C21201/index.php;NEURO PEDIATRI;0116C21201;11703
120;https://sikola.unhas.ac.id/courses/0117C20603/index.php;RINOLOGI I;0117C20603;11705
121;https://sikola.unhas.ac.id/courses/0117C21201/index.php;WAWASAN MANDIRI 1;0117C21201;11703
122;https://sikola.unhas.ac.id/courses/0118C20602/index.php;LARINGO - FARINGOLOGI I;0118C20602;11705
123;https://sikola.unhas.ac.id/courses/0119C20602/index.php;THT KOMUNITAS I;0119C20602;11705
124;https://sikola.unhas.ac.id/courses/011U0032/index.php;PENDIDIKAN KEWARGANEGARAAN;011U0032;22201
125;https://sikola.unhas.ac.id/courses/0120C20602/index.php;OTOLOGI I;0120C20602;11705
126;https://sikola.unhas.ac.id/courses/0121C20602/index.php;NEURO - OTOLOGI I;0121C20602;11705
127;https://sikola.unhas.ac.id/courses/0122C20602/index.php;STASE DEPARTEMEN ANATOMI;0122C20602;11705
128;https://sikola.unhas.ac.id/courses/0123C20602/index.php;STASE DEPARTEMEN RADIOLOGI;0123C20602;11705
129;https://sikola.unhas.ac.id/courses/012U0032/index.php;PANCASILA;012U0032;55201
130;https://sikola.unhas.ac.id/courses/018U0033/index.php;FISIKA DASAR;018U0033;55201
131;https://sikola.unhas.ac.id/courses/01E04110202/index.php;KEPEMIMPINAN POLITIK;01E04110202;67201
132;https://sikola.unhas.ac.id/courses/01E04130203/index.php;MANAJEMEN PARTAI POLITIK;01E04130203;67201
133;https://sikola.unhas.ac.id/courses/01E04130303/index.php;DESENTRALISASI DAN POLITIK LOKAL;01E04130303;67201
134;https://sikola.unhas.ac.id/courses/01E04130403/index.php;POLITIK IDENTITAS;01E04130403;67201
135;https://sikola.unhas.ac.id/courses/01E04130603/index.php;METODE PENELITIAN KUALITATIF;01E04130603;67201
136;https://sikola.unhas.ac.id/courses/01E04130903/index.php;MARKETING POLITIK;01E04130903;67201
137;https://sikola.unhas.ac.id/courses/01E04130903QQ/index.php;MARKETING POLITIK;01E04130903QQ;67201
138;https://sikola.unhas.ac.id/courses/01E04131003/index.php;MANAJEMEN KONFLIK;01E04131003;67201
139;https://sikola.unhas.ac.id/courses/01E04131103/index.php;TEORI-TEORI DEMOKRASI;01E04131103;67201
140;https://sikola.unhas.ac.id/courses/01E04131203/index.php;PERILAKU POLITIK;01E04131203;67201
141;https://sikola.unhas.ac.id/courses/01E04131603/index.php;METODE PENELITIAN KUANTITATIF;01E04131603;67201
142;https://sikola.unhas.ac.id/courses/01E4131303/index.php;TATA KELOLA PEMILU;01E4131303;67201
143;https://sikola.unhas.ac.id/courses/0201C11802/index.php;BAKTERIOLOGI PENYEBAB INFEKSI SALURAN NAPAS BAWAH;0201C11802;11709
144;https://sikola.unhas.ac.id/courses/0201C20202/index.php;FILSAFAT ILMU PENGETAHUAN;0201C20202;11701
145;https://sikola.unhas.ac.id/courses/0201C20402/index.php;DOKTER RUANGAN;0201C20402;11702
146;https://sikola.unhas.ac.id/courses/0201C20502/index.php;GENETIKA KEDOKTERAN;0201C20502;11711
147;https://sikola.unhas.ac.id/courses/0201C20601/index.php;POLIKLINIK : KETERAMPILAN FISIK DIAGNOSTIK;0201C20601;11705
148;https://sikola.unhas.ac.id/courses/0201C20802/index.php;HEMATOLOGI KLINIK DAN ONKOLOGI I;0201C20802;11719
149;https://sikola.unhas.ac.id/courses/0201C21002/index.php;RADIOLOGI EMERGENCY (2) ;0201C21002;11723
150;https://sikola.unhas.ac.id/courses/0201C21201/index.php;NEURO ONCOLOGY;0201C21201;11703
151;https://sikola.unhas.ac.id/courses/0201C21402/index.php;KETERAMPILAN DASAR ANESTESIOLOGI I;0201C21402;11706
152;https://sikola.unhas.ac.id/courses/0201C21503/index.php;BEDAH UROLOGI;0201C21503;11712
153;https://sikola.unhas.ac.id/courses/0201C21606/index.php;ILMU PENYAKIT DALAM UMUM;0201C21606;11715
154;https://sikola.unhas.ac.id/courses/0202C11803/index.php;FAAL RESPIRASI KLINIK;0202C11803;11709
155;https://sikola.unhas.ac.id/courses/0202C20201/index.php;ETIKA PROFESI;0202C20201;11701
156;https://sikola.unhas.ac.id/courses/0202C20405/index.php;PRAKTEK TINDAKAN INVASIF DAN NON INVASIVE;0202C20405;11702
157;https://sikola.unhas.ac.id/courses/0202C20503/index.php;TUMBUH KEMBANG;0202C20503;11711
158;https://sikola.unhas.ac.id/courses/0202C20601/index.php;JOURNAL READING;0202C20601;11705
159;https://sikola.unhas.ac.id/courses/0202C21002/index.php;RADIOLOGI SISTEM RESPIRASI (2) ;0202C21002;11723
160;https://sikola.unhas.ac.id/courses/0202C21201/index.php;GANGGUAN NEURO-OPHTALMOLOGI;0202C21201;11703
161;https://sikola.unhas.ac.id/courses/0202C21402/index.php;KETERAMPILAN DASAR ANESTESIOLOGI II;0202C21402;11706
162;https://sikola.unhas.ac.id/courses/0202C21503/index.php;BEDAH PLASTIK;0202C21503;11712
163;https://sikola.unhas.ac.id/courses/0202C21603/index.php;NEFROLOGI;0202C21603;11715
164;https://sikola.unhas.ac.id/courses/0202C21702/index.php;LEADERSHIP IN NUTRITION;0202C21702;13701
165;https://sikola.unhas.ac.id/courses/0203C11802/index.php;RADIOLOGI DIAGNOSTIK TORAKS DAN MEDIASTINUM;0203C11802;11709
166;https://sikola.unhas.ac.id/courses/0203C20202/index.php;METODE PENELITIAN;0203C20202;11701
167;https://sikola.unhas.ac.id/courses/0203C20403/index.php;DOKTER JAGA / JURNAL : 2;0203C20403;11702
168;https://sikola.unhas.ac.id/courses/0203C20503/index.php;NUTRISI / GIZI;0203C20503;11711
169;https://sikola.unhas.ac.id/courses/0203C20603/index.php;OTOLOGI;0203C20603;11705
170;https://sikola.unhas.ac.id/courses/0203C20802/index.php;ALERGI DAN IMUNOLOGI I;0203C20802;11719
171;https://sikola.unhas.ac.id/courses/0203C21003/index.php;RADIOLOGI SISTEM KARDIOVASKULER (2) ;0203C21003;11723
172;https://sikola.unhas.ac.id/courses/0203C21201/index.php;GANGGUAN TIDUR;0203C21201;11703
173;https://sikola.unhas.ac.id/courses/0203C21402/index.php;KEDOKTERAN PERIOPERATIF I;0203C21402;11706
174;https://sikola.unhas.ac.id/courses/0203C21503/index.php;BEDAH THORAX VASCULAR;0203C21503;11712
175;https://sikola.unhas.ac.id/courses/0203C21603/index.php;ENDOKRIN METABOLIK;0203C21603;11715
176;https://sikola.unhas.ac.id/courses/0203C21702/index.php;FISIOLOGI GIZI DAN METABOLISME ZAT GIZI;0203C21702;13701
177;https://sikola.unhas.ac.id/courses/0204C11802/index.php;IMUNOLOGI DAN BIOLOGI MOLEKULER RESPIRASI;0204C11802;11709
178;https://sikola.unhas.ac.id/courses/0204C20202/index.php;BIOSTATISTIKA DAN KOMPUTER STATISTIK;0204C20202;11701
179;https://sikola.unhas.ac.id/courses/0204C20402/index.php;TUGAS BACA : REFERAT 1;0204C20402;11702
180;https://sikola.unhas.ac.id/courses/0204C20502/index.php;ELEKTROLIT, KESEIMBANGAN AIR DAN ASAM - BASA;0204C20502;11711
181;https://sikola.unhas.ac.id/courses/0204C20603/index.php;RINOLOGI;0204C20603;11705
182;https://sikola.unhas.ac.id/courses/0204C20801/index.php;ENDOKRINOLOGI DAN METABOLIK;0204C20801;11719
183;https://sikola.unhas.ac.id/courses/0204C21003/index.php;RADIOLOGI SISTEM MUSKULOSKELETAL (2) ;0204C21003;11723
184;https://sikola.unhas.ac.id/courses/0204C21201/index.php;PARKINSON DAN GANGGUAN GERAK;0204C21201;11703
185;https://sikola.unhas.ac.id/courses/0204C21402/index.php;PERSIAPAN OBAT DAN ALAT ANESTESI;0204C21402;11706
186;https://sikola.unhas.ac.id/courses/0204C21503/index.php;CRITICAL CARE/ICU;0204C21503;11712
187;https://sikola.unhas.ac.id/courses/0204C21702/index.php;NUTRIGENOMICS;0204C21702;13701
188;https://sikola.unhas.ac.id/courses/0205C11802/index.php;PENYUSUNAN PROPOSAL PENELITIAN;0205C11802;11709
189;https://sikola.unhas.ac.id/courses/0205C20201/index.php;JURNAL READING I;0205C20201;11701
190;https://sikola.unhas.ac.id/courses/0205C20415/index.php;TUGAS BACA : LAPORAN KEMATIAN : 3;0205C20415;11702
191;https://sikola.unhas.ac.id/courses/0205C20501/index.php;PENYAKIT INFEKSI TROPIK JUNIOR;0205C20501;11711
192;https://sikola.unhas.ac.id/courses/0205C20602/index.php;ALERGI IMUNOLOGI;0205C20602;11705
193;https://sikola.unhas.ac.id/courses/0205C20801/index.php;HEPATOGASTROENTEROLOGI I;0205C20801;11719
194;https://sikola.unhas.ac.id/courses/0205C21003/index.php;RADIOLOGI SISTEM UROGENITAL (2) ;0205C21003;11723
195;https://sikola.unhas.ac.id/courses/0205C21201/index.php;NEURO BEHAVIOUR;0205C21201;11703
196;https://sikola.unhas.ac.id/courses/0205C21402/index.php;ANESTESI BEDAH UMUM I;0205C21402;11706
197;https://sikola.unhas.ac.id/courses/0205C21503/index.php;BEDAH DIGESTIF;0205C21503;11712
198;https://sikola.unhas.ac.id/courses/0205C21702/index.php;EPIDEMOLOGI GIZI;0205C21702;13701
199;https://sikola.unhas.ac.id/courses/0206C20202/index.php;BASIC READING;0206C20202;11701
200;https://sikola.unhas.ac.id/courses/0206C20501/index.php;GASTROENTEROHEPATOLOGI JUNIOR;0206C20501;11711
201;https://sikola.unhas.ac.id/courses/0206C20602/index.php;NEURO - OTOLOGI;0206C20602;11705
202;https://sikola.unhas.ac.id/courses/0206C20801/index.php;KARDIOSEREBROVASKULAR I;0206C20801;11719
203;https://sikola.unhas.ac.id/courses/0206C21002/index.php;RADIOLOGI SISTEM GASTROINTESTINAL (1) ;0206C21002;11723
204;https://sikola.unhas.ac.id/courses/0206C21201/index.php;NEURO OTOLOGI;0206C21201;11703
205;https://sikola.unhas.ac.id/courses/0206C21402/index.php;PENGELOLAAN NYERI I;0206C21402;11706
206;https://sikola.unhas.ac.id/courses/0206C21503/index.php;BEDAH ANAK;0206C21503;11712
207;https://sikola.unhas.ac.id/courses/0206C21702/index.php;MIKROBIOLOGI KLINIK;0206C21702;13701
208;https://sikola.unhas.ac.id/courses/0207C20202/index.php;EPIDEMOLOGI KLINIK DAN KEDOKTERAN BERBASIS BUKTI;0207C20202;11701
209;https://sikola.unhas.ac.id/courses/0207C20501/index.php;RESPIROLOGI JUNIOR;0207C20501;11711
210;https://sikola.unhas.ac.id/courses/0207C20602/index.php;STASE ANATOMI;0207C20602;11705
211;https://sikola.unhas.ac.id/courses/0207C21201/index.php;TRAUMA KRANIO SEREBRAL DAN MEDULLA SPINALIS;0207C21201;11703
212;https://sikola.unhas.ac.id/courses/0207C21702/index.php;ILMU BAHAN MAKANAN;0207C21702;13701
213;https://sikola.unhas.ac.id/courses/0208C20202/index.php;IMUNOLOGI;0208C20202;11701
214;https://sikola.unhas.ac.id/courses/0208C20501/index.php;NEUROLOGI JUNIOR;0208C20501;11711
215;https://sikola.unhas.ac.id/courses/0208C20601/index.php;STASE SUB BAGIAN : AUDIOLOGI;0208C20601;11705
216;https://sikola.unhas.ac.id/courses/0208C20802/index.php;PENYAKIT TROPIS DAN INFEKSI I;0208C20802;11719
217;https://sikola.unhas.ac.id/courses/0208C21201/index.php;NEUROGERIATRI;0208C21201;11703
218;https://sikola.unhas.ac.id/courses/0208C21702/index.php;FOOD SAFETY & SECURITY;0208C21702;13701
219;https://sikola.unhas.ac.id/courses/0209C20204/index.php;"REFRAKSI (STASE 2 BULAN) : TUGAS BACA ; MODEL RAWAT JALAN";0209C20204;11701
220;https://sikola.unhas.ac.id/courses/0209C20501/index.php;GIZI JUNIOR;0209C20501;11711
