No;Link Matkul;Name;Kode Matkul;Kategori Matkul;Is Found
4966;https://sikola.unhas.ac.id/courses/19L04130503/index.php;KONSTRUKSI ALAT PENANGKAPAN IKAN;19L04130503;54246;Found
4967;https://sikola.unhas.ac.id/courses/19L04130603/index.php;EKSPLORASI PERIKANAN TANGKAP;19L04130603;54246;Not Found
4968;https://sikola.unhas.ac.id/courses/19L04130703/index.php;TEKNOLOGI ALAT BANTU PENANGKAPAN IKAN (P);19L04130703;54246;Found
4969;https://sikola.unhas.ac.id/courses/19L04130803/index.php;PENGINDERAAN JAUH PERIKANAN TANGKAP (P);19L04130803;54246;Not Found
4970;https://sikola.unhas.ac.id/courses/19L04130903/index.php;TEKNOLOGI REFRIGERASI HASIL PERIKANAN (P);19L04130903;54246;Found
4971;https://sikola.unhas.ac.id/courses/19L04131003/index.php;ISU KONTEMPORER PERIKANAN TANGKAP (P);19L04131003;54246;Not Found
4972;https://sikola.unhas.ac.id/courses/19L04131103/index.php;JARINGAN KERJA PERIKANAN TANGKAP BERBASIS SISTEM (P);19L04131103;54246;Not Found
4973;https://sikola.unhas.ac.id/courses/19L04131203/index.php;RANCANG BANGUN ALAT BANTU PENANGKAPAN IKAN (P);19L04131203;54246;Not Found
4974;https://sikola.unhas.ac.id/courses/19L04131403/index.php;METODOLOGI PENELITIAN PERIKANAN TANGKAP;19L04131403;54246;Not Found
4975;https://sikola.unhas.ac.id/courses/19L04131502/index.php;PRAKTIK KERJA SISTEM INFORMASI PERIKANAN TANGKAP;19L04131502;54246;Not Found
4976;https://sikola.unhas.ac.id/courses/19L04131503/index.php;PENANGANAN HASIL TANGKAPAN;19L04131503;54246;Found
4977;https://sikola.unhas.ac.id/courses/19L04131602/index.php;PRAKTEK KERJA SISTEM INFORMASI PERIKANAN TANGKAP;19L04131602;54246;Not Found
4978;https://sikola.unhas.ac.id/courses/19L04131702/index.php;PRAKTIK KERJA TEKNIK PENANGKAPAN IKAN;19L04131702;54246;Not Found
4979;https://sikola.unhas.ac.id/courses/19L04131802/index.php;PRAKTIK KERJA RANCANG BANGUN ALAT DAN KAPAL PERIKANAN;19L04131802;54246;Found
4980;https://sikola.unhas.ac.id/courses/19L04131803/index.php;PENYELAMATAN DAN KESELAMATAN KERJA DI LAUT;19L04131803;54241;Not Found
4981;https://sikola.unhas.ac.id/courses/19L04131903/index.php;PENYELAMATAN DAN KESELAMATAN KERJA DI LAUT (P);19L04131903;54246;Not Found
4982;https://sikola.unhas.ac.id/courses/19L041320003/index.php;AKUSTIK PERIKANAN (P);19L041320003;54246;Not Found
4983;https://sikola.unhas.ac.id/courses/19L04132003/index.php;AKUSTIK PERIKANAN (P);19L04132003;54246;Not Found
4984;https://sikola.unhas.ac.id/courses/19L04132103/index.php;MESIN KAPAL PERIKANAN (P);19L04132103;54246;Not Found
4985;https://sikola.unhas.ac.id/courses/19L04132203/index.php;UJI MUTU HASIL PERIKANAN (P);19L04132203;54246;Not Found
4986;https://sikola.unhas.ac.id/courses/19L04132303/index.php;DIVERSIFIKASI DAN PENGEMBANGAN PRODUK PERIKANAN (P);19L04132303;54246;Not Found
4987;https://sikola.unhas.ac.id/courses/19L04132403/index.php;INDUSTRI DAN PROYEK PERIKANAN TANGKAP (P);19L04132403;54246;Not Found
4988;https://sikola.unhas.ac.id/courses/19L04132503/index.php;RESPON IKAN PADA ALAT TANGKAP (P);19L04132503;54246;Not Found
4989;https://sikola.unhas.ac.id/courses/19L04140101/index.php;SEMINAR;19L04140101;54246;Not Found
4990;https://sikola.unhas.ac.id/courses/19L04140206/index.php;SKRIPSI;19L04140206;54246;Not Found
4991;https://sikola.unhas.ac.id/courses/19L042323/index.php;PENGOLAHAN DATA PERIKANAN TANGKAP;19L042323;54246;Found
4992;https://sikola.unhas.ac.id/courses/19L05110102/index.php;DASAR-DASAR MANAJEMEN;19L05110102;54245;Not Found
4993;https://sikola.unhas.ac.id/courses/19L05120102/index.php;PENGANTAR ILMU EKONOMI;19L05120102;54245;Not Found
4994;https://sikola.unhas.ac.id/courses/19L05120203/index.php;SOSIOLOGI MASYARAKAT PESISIR DAN KEPULAUAN;19L05120203;54245;Not Found
4995;https://sikola.unhas.ac.id/courses/19L05120303/index.php;EKONOMI PRODUKSI PERIKANAN;19L05120303;54245;Not Found
4996;https://sikola.unhas.ac.id/courses/19L05120403/index.php;EKONOMI MIKRO;19L05120403;54245;Not Found
4997;https://sikola.unhas.ac.id/courses/19L05120503/index.php;EKONOMI MAKRO;19L05120503;54245;Not Found
4998;https://sikola.unhas.ac.id/courses/19L05120602/index.php;KEWIRAUSAHAAN PERIKANAN DAN KELAUTAN;19L05120602;54245;Not Found
4999;https://sikola.unhas.ac.id/courses/19L05120702/index.php;PENYULUHAN DAN KOMUNIKASI PERIKANAN DAN KELAUTAN;19L05120702;54245;Not Found
5000;https://sikola.unhas.ac.id/courses/19L05120803/index.php;AKUNTANSI PERIKANAN;19L05120803;54245;Found
5001;https://sikola.unhas.ac.id/courses/19L05120903/index.php;EKONOMETRIKA;19L05120903;54245;Not Found
5002;https://sikola.unhas.ac.id/courses/19L05121003/index.php;EKONOMI SUMBERDAYA PERAIRAN;19L05121003;54245;Not Found
5003;https://sikola.unhas.ac.id/courses/19L05121102/index.php;KEBIJAKAN DAN STRATEGI PEMBANGUNAN PERIKANA;19L05121102;54245;Not Found
5004;https://sikola.unhas.ac.id/courses/19L05121203/index.php;EKONOMI WISATA BAHARI (P);19L05121203;54245;Not Found
5005;https://sikola.unhas.ac.id/courses/19L05121303/index.php;ETIKA BISNIS (P);19L05121303;54245;Not Found
5006;https://sikola.unhas.ac.id/courses/19L05130103/index.php;TATANIAGA HASIL PERIKANAN;19L05130103;54245;Not Found
5007;https://sikola.unhas.ac.id/courses/19L05130203/index.php;EVALUASI PROYEK PERIKANAN;19L05130203;54245;Not Found
5008;https://sikola.unhas.ac.id/courses/19L05130303/index.php;KOPERASI PERIKANAN;19L05130303;54245;Found
5009;https://sikola.unhas.ac.id/courses/19L05130403/index.php;ANTROPOLOGI PERIKANAN DAN KELAUTAN;19L05130403;54245;Not Found
5010;https://sikola.unhas.ac.id/courses/19L05130503/index.php;MANAJEMEN INDUSTRI PERIKANAN (P);19L05130503;54245;Not Found
5011;https://sikola.unhas.ac.id/courses/19L05130603/index.php;MANAJEMEN KEWIRAUSAHAAN PERIKANAN & KELAUTAN (P);19L05130603;54245;Not Found
5012;https://sikola.unhas.ac.id/courses/19L05130703/index.php;EKONOMI SUMBER DAYA MANUSIA (P);19L05130703;54245;Not Found
5013;https://sikola.unhas.ac.id/courses/19L05130803/index.php;MANAJEMEN BISNIS PERIKANAN;19L05130803;54245;Not Found
